Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,drug_treatment,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample_id,Sample Name,source_name,SRA Study,strain,surgery,tissue
SRR6868508,miRNA-Seq,60,632754660,PRJNA439359,SAMN08741838,358679358,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Sildenafil (PDE5A-I),SRX3822970,GSM3056362,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:02:00Z,1,Ear tag #533,GSM3056362,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868509,miRNA-Seq,60,1269067440,PRJNA439359,SAMN08741836,751912998,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Sildenafil (PDE5A-I),SRX3822971,GSM3056363,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:05:00Z,1,Ear tag #536,GSM3056363,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868510,miRNA-Seq,60,329959620,PRJNA439359,SAMN08741834,189327123,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Sildenafil (PDE5A-I),SRX3822972,GSM3056364,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:01:00Z,1,Ear tag #627,GSM3056364,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868511,miRNA-Seq,60,305795520,PRJNA439359,SAMN08741831,174184931,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Sildenafil (PDE5A-I),SRX3822973,GSM3056365,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:00:00Z,1,Ear tag #647,GSM3056365,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868512,miRNA-Seq,60,365179980,PRJNA439359,SAMN08741825,207589215,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Sildenafil (PDE5A-I),SRX3822974,GSM3056366,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:01:00Z,1,Ear tag #697,GSM3056366,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868513,miRNA-Seq,60,1297981980,PRJNA439359,SAMN08741687,734919632,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",PF-04449613 (PDE9A-I),SRX3822975,GSM3056367,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:02:00Z,1,Ear tag #151,GSM3056367,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868514,miRNA-Seq,60,792504600,PRJNA439359,SAMN08741684,448630332,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",PF-04449613 (PDE9A-I),SRX3822976,GSM3056368,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:02:00Z,1,Ear tag #528,GSM3056368,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868515,miRNA-Seq,60,1043840460,PRJNA439359,SAMN08741683,601537253,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",PF-04449613 (PDE9A-I),SRX3822977,GSM3056369,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:02:00Z,1,Ear tag #529,GSM3056369,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868516,miRNA-Seq,60,980688720,PRJNA439359,SAMN08741681,548287072,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",PF-04449613 (PDE9A-I),SRX3822978,GSM3056370,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:03:00Z,1,Ear tag #531,GSM3056370,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868517,miRNA-Seq,60,430823520,PRJNA439359,SAMN08741678,251190353,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",PF-04449613 (PDE9A-I),SRX3822979,GSM3056371,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:01:00Z,1,Ear tag #542,GSM3056371,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868518,miRNA-Seq,60,1139170680,PRJNA439359,SAMN08741763,654621765,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",PF-04449613 (PDE9A-I),SRX3822980,GSM3056372,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:03:00Z,1,Ear tag #676,GSM3056372,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
