miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq	 533_TAC+PDE5AI 1_R1.fastq	 536_TAC+PDE5AI 2_R1.fastq	 627_TAC+PDE5AI 3_R1.fastq	 647_TAC+PDE5AI 4_R1.fastq	 697_TAC+PDE5AI 5_R1.fastq	 151_TAC+PDE9AI 1_R1.fastq	 528_TAC+PDE9AI 2_R1.fastq	 529_TAC+PDE9AI 3_R1.fastq	 531_TAC+PDE9AI 4_R1.fastq	 542_TAC+PDE9AI 5_R1.fastq	 676_TAC+PDE9AI 6_R1.fastq
mmu-let-7f-5p	136134	102380	117605	70703	82447	96957	106031	86805	139991	80338	36497	46764	3863	2525	1317	115739	102223	87967	149731	6353	92597
mmu-let-7g-3p	77	69	56	59	67	39	64	78	71	67	37	54	0	12	9	73	62	68	70	15	50
mmu-let-7g-5p	26838	22112	21487	14137	17639	17602	24779	20455	29401	18209	9767	12431	1605	1159	783	25580	21066	20651	34416	2172	19730
mmu-let-7i-3p	155	148	123	81	115	99	195	163	191	166	96	108	54	40	33	175	131	166	206	33	100
mmu-let-7i-5p	21620	20311	18477	12061	16372	25002	26755	28043	37775	19578	12590	13883	3680	3332	1862	28198	20362	29092	46354	4236	16898
mmu-let-7j	0	32	0	0	36	21	20	26	28	29	0	14	0	0	0	0	20	34	35	5	23
mmu-let-7k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
mmu-miR-100-3p	15	16	17	8	12	17	20	19	13	14	4	13	0	0	0	12	11	13	23	0	14
mmu-miR-100-5p	3972	3125	2748	1677	2605	3854	5556	4945	6076	4390	3295	3242	921	719	339	6455	3624	5809	8599	702	3188
mmu-miR-101a-3p	26857	12780	15528	12782	16460	15681	18632	15220	23565	13150	842	1198	51	0	90	18445	16841	7004	28376	131	13633
mmu-miR-101a-5p	180	91	118	98	136	83	186	119	130	92	19	44	0	0	0	103	104	73	143	9	82
mmu-miR-101b-3p	2823	1764	1611	1417	1649	2470	2471	2227	3996	1752	187	428	14	17	12	2199	2585	1563	3443	23	1672
mmu-miR-101b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
mmu-miR-101c	9834	4331	5439	4597	6101	5706	7064	5170	8487	4556	0	0	0	0	0	6878	6416	2639	9676	0	5330
mmu-miR-103-1-5p	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-103-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
mmu-miR-103-3p	3600	3283	2905	1920	2768	4556	5319	4808	6465	3497	3265	3320	1314	1304	790	4970	3627	4723	7297	1323	2654
mmu-miR-105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-106a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-106a-5p	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	9	0	0	6	0	0
mmu-miR-106b-3p	258	237	218	194	234	239	341	258	305	191	206	238	148	179	128	261	243	342	368	135	205
mmu-miR-106b-5p	423	243	260	206	289	196	392	306	573	248	81	145	11	13	8	302	438	280	511	8	281
mmu-miR-107-3p	3148	2961	2572	1623	2331	3008	3767	2986	3962	2532	2090	2456	798	724	375	3669	2749	2949	4259	878	2248
mmu-miR-107-5p	16	0	18	0	0	0	0	17	14	0	5	0	3	0	0	0	17	17	16	0	22
mmu-miR-10a-3p	48	19	67	51	22	37	48	44	37	5	30	22	3	0	3	69	15	36	54	0	0
mmu-miR-10a-5p	62932	24910	114944	66066	29211	52891	65171	58580	49727	8777	32743	50125	1932	1964	2037	117360	11098	33662	88035	7915	12273
mmu-miR-10b-3p	0	0	12	13	12	12	11	21	13	6	10	13	0	0	0	27	6	0	22	0	0
mmu-miR-10b-5p	34592	12003	60126	20761	12408	71590	46007	76292	59906	23519	27116	14956	1711	1928	1008	107356	10534	21550	87880	6020	7411
mmu-miR-1187	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1188-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1188-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1191a	40	39	0	24	25	22	34	37	53	24	0	24	0	0	0	41	35	45	40	0	38
mmu-miR-1191b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1191b-5p	61	37	47	37	53	61	58	58	62	55	17	54	8	0	9	58	50	48	65	11	65
mmu-miR-1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1193-3p	0	0	0	0	0	5	0	0	12	0	0	0	0	0	0	0	5	6	0	0	0
mmu-miR-1193-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1194	34	0	0	0	0	12	0	0	26	19	0	35	0	0	0	37	0	0	0	0	34
mmu-miR-1195	55	48	44	59	108	50	61	59	46	39	31	190	21	22	23	120	38	56	54	23	84
mmu-miR-1197-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	0	0
mmu-miR-1197-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1198-3p	0	21	16	19	24	0	0	13	18	0	10	19	0	0	0	33	0	17	0	0	25
mmu-miR-1198-5p	1571	1768	1414	1222	1457	876	2104	1366	1425	891	1320	1430	590	507	504	1471	1160	1071	1338	703	1174
mmu-miR-1199-3p	0	18	0	0	0	9	0	0	27	0	0	0	0	0	0	0	19	23	0	12	0
mmu-miR-1199-5p	59	52	30	23	57	17	63	48	37	39	37	84	23	25	0	57	40	56	39	22	41
mmu-miR-122-3p	21	21	22	19	0	0	21	0	0	0	0	0	0	0	0	0	16	0	20	0	9
mmu-miR-122-5p	12	0	9	0	25	6	10	10	0	0	6	11	0	0	0	9	0	0	0	0	17
mmu-miR-1224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1224-5p	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1231-3p	8	12	0	0	0	19	19	18	11	0	9	24	0	6	11	23	15	0	25	0	0
mmu-miR-1231-5p	0	0	0	0	0	21	0	33	31	0	18	0	0	0	16	32	0	38	0	0	0
mmu-miR-124-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-124-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1247-3p	0	23	0	0	0	27	0	49	52	22	25	76	13	11	18	46	16	27	42	0	0
mmu-miR-1247-5p	127	112	133	97	93	403	676	774	1379	420	286	219	351	448	516	349	215	621	778	176	96
mmu-miR-1249-3p	261	264	239	148	214	176	360	256	336	263	243	220	188	175	192	309	181	334	389	175	193
mmu-miR-1249-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
mmu-miR-1251-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1251-5p	10	0	0	0	0	0	0	0	10	0	4	0	0	0	0	0	8	9	0	0	0
mmu-miR-1258-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1258-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-125a-3p	66	72	65	45	81	64	104	82	75	58	74	68	42	39	38	90	54	78	94	27	49
mmu-miR-125a-5p	30455	28731	25876	16835	24808	19356	44706	39844	46543	34751	39951	34750	26915	24561	23371	46725	31080	44135	62166	18536	27398
mmu-miR-125b-1-3p	184	269	189	148	270	308	448	704	640	337	347	276	226	269	254	502	273	654	860	194	197
mmu-miR-125b-2-3p	2835	2124	2286	1335	2065	2482	3284	3455	4402	2473	1373	1620	388	312	221	2881	2476	2986	4030	417	1725
mmu-miR-125b-5p	26443	22993	21220	13399	19850	16030	40125	36072	40398	28412	29311	23120	14202	12823	11308	44090	22016	34668	60594	10613	20207
mmu-miR-1264-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1264-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-126a-3p	70717	42742	47898	32898	42903	32164	53105	44467	81111	44330	22520	34624	2429	1209	598	53165	63901	44809	50711	3450	48514
mmu-miR-126a-5p	213668	145177	140970	97159	126116	186699	159075	135601	270193	147469	15282	35497	907	705	741	135420	183581	117647	149332	1570	122973
mmu-miR-126b-3p	3415	2336	2236	1569	1983	3057	2601	2189	4228	1073	130	268	0	0	0	1003	1365	884	1116	0	915
mmu-miR-126b-5p	539	308	356	302	335	218	414	268	639	204	97	135	10	8	0	219	317	175	262	16	216
mmu-miR-127-3p	5790	6207	5198	3335	5466	15258	13627	16776	19882	10956	11737	7557	5029	6651	5773	12858	5578	15334	24532	4195	4439
mmu-miR-127-5p	60	43	55	41	56	60	62	85	94	51	39	56	0	11	13	65	36	85	100	23	59
mmu-miR-128-1-5p	58	53	33	28	52	44	52	41	43	36	33	38	24	25	20	52	30	56	48	35	40
mmu-miR-128-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-128-3p	2989	3314	2465	1773	2341	1874	3057	2462	2986	2095	1697	2119	535	399	211	2313	2637	2646	2436	602	2644
mmu-miR-129-1-3p	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0
mmu-miR-129-2-3p	41	0	44	0	0	0	37	39	25	30	30	54	0	0	0	36	0	34	36	0	38
mmu-miR-129-5p	14	11	0	0	19	21	13	25	19	16	11	17	7	0	12	42	11	17	33	5	14
mmu-miR-1291	0	0	0	0	60	72	0	69	47	0	0	0	0	0	7	51	44	31	35	0	0
mmu-miR-1298-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1298-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-129b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-129b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1306-3p	12	19	16	0	0	0	0	0	0	10	0	20	0	0	9	23	0	24	20	15	0
mmu-miR-1306-5p	14	32	21	16	28	15	35	27	33	22	26	29	20	25	19	21	22	36	31	16	21
mmu-miR-130a-3p	4621	3791	3231	2101	3215	3121	4630	4760	6811	3592	2683	2932	731	607	270	5234	4155	4794	5752	847	3228
mmu-miR-130a-5p	165	119	107	0	141	0	126	151	137	76	0	0	0	0	0	137	0	184	117	0	0
mmu-miR-130b-3p	54	122	65	37	51	51	72	95	118	57	52	74	15	17	10	81	89	87	150	14	67
mmu-miR-130b-5p	27	52	27	25	29	32	30	33	32	29	19	21	10	8	5	42	30	31	37	9	14
mmu-miR-130c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-132-3p	1699	1608	1146	907	1123	1828	1971	2658	4547	1158	1597	1147	842	950	608	2337	1536	3442	2220	871	1742
mmu-miR-132-5p	80	79	53	51	93	57	63	110	198	55	53	110	17	18	10	102	77	105	127	16	59
mmu-miR-133a-3p	961025	868905	782712	518470	687531	367568	1006201	677236	781764	732251	508729	622390	370983	286299	260997	777300	698024	709883	609797	312305	646804
mmu-miR-133a-5p	3423	2295	2377	1634	2134	762	2328	1668	2320	1732	917	1254	269	205	122	2128	2316	1536	1878	285	2167
mmu-miR-133b-3p	21219	18847	17012	11229	15003	8578	21745	14754	17688	9211	6453	8757	4943	3695	3345	9532	8926	9385	7807	3674	7906
mmu-miR-133b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-133c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-134-3p	0	15	10	0	0	0	0	19	13	0	0	0	0	0	0	33	0	0	15	0	17
mmu-miR-134-5p	28	25	39	21	36	46	58	70	90	48	46	34	9	19	19	57	18	60	112	7	26
mmu-miR-135a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-135a-2-3p	27	25	20	0	14	0	19	0	8	11	0	0	0	0	0	0	0	21	23	0	0
mmu-miR-135a-5p	124	70	59	62	74	27	62	52	65	51	6	14	0	0	0	78	75	34	40	0	63
mmu-miR-135b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-135b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-136-3p	53	34	30	31	35	65	75	105	149	46	8	9	0	0	0	67	40	42	142	0	33
mmu-miR-136-5p	160	97	113	81	113	165	251	324	282	215	9	16	2	0	0	223	100	119	396	0	85
mmu-miR-137-3p	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
mmu-miR-137-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-138-1-3p	14	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-138-2-3p	0	0	0	0	16	0	0	23	16	0	0	0	4	0	0	0	0	17	16	0	19
mmu-miR-138-5p	76	62	98	85	85	41	113	108	127	73	61	99	37	49	38	118	103	133	110	32	82
mmu-miR-139-3p	101	84	76	52	60	44	82	67	48	47	48	64	26	40	45	71	54	70	51	51	92
mmu-miR-139-5p	894	975	742	487	685	364	1072	606	904	714	565	785	346	288	270	764	655	719	767	245	539
mmu-miR-140-3p	4843	3782	3465	2239	3716	8851	8703	11754	12126	8267	4984	4329	2456	4313	2834	12197	4463	9901	17423	2155	2972
mmu-miR-140-5p	371	276	228	160	259	470	518	665	852	495	147	176	15	18	24	733	386	519	895	20	250
mmu-miR-141-3p	97	59	60	50	97	42	74	52	88	55	15	45	0	0	0	62	88	47	104	0	43
mmu-miR-141-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	13	0	0	15
mmu-miR-142a-3p	4058	3656	2923	2639	2906	3673	3712	4254	9303	3301	518	1054	21	0	19	5246	4932	3929	10458	57	2583
mmu-miR-142a-5p	1953	907	894	1317	1208	1087	1246	1846	3862	1142	56	68	10	5	19	1179	2031	809	2936	17	758
mmu-miR-142b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-143-3p	682541	393764	427740	270656	420238	728890	538258	485697	800463	464580	103401	189739	10680	8238	5566	660066	517869	386872	769768	17463	394812
mmu-miR-143-5p	276	198	207	139	185	151	273	212	376	263	132	174	50	74	46	339	236	269	369	74	225
mmu-miR-144-3p	1221	338	655	1171	706	263	396	871	983	689	11	19	5	2	5	132	971	235	331	6	339
mmu-miR-144-5p	1034	343	634	703	581	460	393	519	1169	508	54	132	6	7	3	227	966	469	521	16	574
mmu-miR-145a-3p	3553	2129	2372	1704	2528	1267	2506	2029	2961	2210	304	680	20	9	12	2799	2800	1814	3402	38	2381
mmu-miR-145a-5p	3792	3229	2732	1346	2738	1353	4527	3643	4744	3630	2743	3396	1482	1325	908	5491	2710	3843	6358	1071	2342
mmu-miR-145b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-146a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
mmu-miR-146a-5p	2653	2484	2348	1246	2437	3497	3760	2570	3577	2680	1935	2439	487	234	132	3888	3530	3074	6237	470	1553
mmu-miR-146b-3p	0	0	0	0	0	0	19	0	19	10	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-146b-5p	526	431	371	186	336	2047	694	1113	2672	676	332	350	62	43	17	1083	619	1042	1586	50	254
mmu-miR-147-3p	75	29	31	43	38	33	42	80	92	28	8	8	0	0	0	45	32	45	58	0	51
mmu-miR-147-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-148a-3p	58758	35403	37287	24062	28643	66179	42168	41374	68245	39741	5032	9325	980	920	1203	51474	44770	37028	74704	1034	32120
mmu-miR-148a-5p	247	174	154	99	150	232	223	262	349	185	63	121	30	20	6	253	189	204	319	23	159
mmu-miR-148b-3p	4082	3525	2998	2090	2959	4390	4314	3917	6247	3042	1633	1893	1027	1066	781	3707	3897	3936	4266	572	2744
mmu-miR-148b-5p	147	116	110	93	128	46	139	169	269	133	31	64	16	11	8	157	147	150	165	11	124
mmu-miR-149-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	147
mmu-miR-149-5p	12472	13274	12265	8516	10300	2590	16596	8921	7989	10921	8845	9700	6015	5065	4432	13335	9596	10357	11792	6383	10232
mmu-miR-150-3p	39	40	33	30	37	28	55	28	33	27	25	29	18	21	16	30	27	40	22	28	37
mmu-miR-150-5p	8146	6141	8098	5172	6285	1576	11892	6487	5734	7459	6318	7986	4124	3396	3869	8507	5705	5705	5918	4630	6909
mmu-miR-151-3p	29127	30942	26144	16524	23404	38191	37004	29995	39539	27476	23940	26625	17323	16217	12523	26155	25708	35727	36677	13964	19507
mmu-miR-151-5p	19860	17502	18304	10956	14365	9468	22544	18129	24132	16500	15635	16400	8026	7375	7457	17108	17875	19690	18120	8198	13818
mmu-miR-152-3p	1593	1194	1104	787	1087	1401	1627	1629	2626	1273	586	733	77	53	0	2057	1365	1744	2809	80	1145
mmu-miR-152-5p	381	284	232	139	276	444	472	454	681	337	118	182	52	46	27	413	320	465	545	50	248
mmu-miR-153-3p	68	59	74	67	128	57	81	83	105	58	6	0	0	0	0	95	75	43	82	0	68
mmu-miR-153-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-154-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-154-5p	12	15	16	8	16	24	35	37	41	34	16	21	0	8	2	33	18	44	38	0	11
mmu-miR-155-3p	0	0	5	8	12	0	0	8	0	0	0	0	0	0	0	7	0	10	0	0	0
mmu-miR-155-5p	761	623	586	432	512	347	695	558	779	469	431	466	176	154	112	730	557	570	756	181	470
mmu-miR-15a-3p	33	10	16	15	16	20	24	34	24	18	0	14	6	0	0	14	20	24	28	0	19
mmu-miR-15a-5p	2939	2229	2112	1484	2055	1517	3189	2456	3629	2281	517	1144	60	34	33	2806	2685	2158	3576	89	1790
mmu-miR-15b-3p	70	60	38	40	61	66	70	93	146	82	8	25	0	0	0	74	82	80	137	0	40
mmu-miR-15b-5p	412	392	298	222	344	227	555	553	748	390	357	389	288	342	256	494	436	617	787	166	272
mmu-miR-16-1-3p	41	35	36	32	45	21	44	58	40	26	0	16	0	0	0	39	36	46	53	0	24
mmu-miR-16-2-3p	60	34	28	38	39	44	45	51	89	56	16	27	0	0	4	59	68	56	85	0	40
mmu-miR-16-5p	43591	29063	29833	21364	29968	33665	44763	39509	63341	32182	18327	25310	1961	1232	719	48681	41540	42115	62548	2678	28499
mmu-miR-1668	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-17-3p	81	50	49	41	54	22	87	70	81	50	48	64	34	22	25	82	66	73	106	21	55
mmu-miR-17-5p	400	317	252	186	315	229	364	380	557	269	169	299	31	15	10	379	334	387	533	38	276
mmu-miR-181a-1-3p	4347	4595	3944	2599	3826	3379	4237	3154	3669	2951	2632	2437	1170	1154	973	3170	2942	3031	3815	1506	3216
mmu-miR-181a-2-3p	35	0	0	0	0	0	0	0	0	0	0	0	0	0	6	37	0	0	0	0	0
mmu-miR-181a-5p	95296	101523	79665	45462	83240	109092	132132	100335	125984	82557	78590	78230	45242	49141	36409	107624	85309	93487	155835	38021	67421
mmu-miR-181b-1-3p	20	0	0	0	0	0	0	20	19	0	0	0	0	0	0	0	0	0	19	0	0
mmu-miR-181b-2-3p	21	0	0	0	0	7	10	0	14	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-181b-5p	6399	6785	5644	3701	5896	5824	7989	6307	7218	5500	5333	4431	2173	2310	1779	6644	4995	6084	10435	2634	4909
mmu-miR-181c-3p	870	662	504	363	682	730	850	679	985	520	279	419	136	110	77	529	625	630	847	125	495
mmu-miR-181c-5p	12238	9853	7713	4722	8457	11318	13821	11331	17486	8428	5792	7600	2323	2030	1362	12408	9847	8826	18035	1861	7942
mmu-miR-181d-3p	23	24	0	0	21	0	0	23	32	0	0	0	0	0	0	0	0	0	0	0	25
mmu-miR-181d-5p	1828	1638	1312	895	1340	1855	2079	1753	2159	1335	1156	1230	439	456	237	1580	1352	1736	2668	465	1193
mmu-miR-182-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-182-5p	154	136	85	77	77	194	145	149	214	106	61	51	17	8	8	214	136	218	385	17	95
mmu-miR-183-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-183-5p	264	309	226	208	325	205	304	328	342	184	190	119	0	0	0	324	257	290	297	74	275
mmu-miR-1839-3p	69	40	28	18	43	45	64	72	84	39	8	20	0	0	0	66	43	68	73	0	33
mmu-miR-1839-5p	532	477	504	373	449	618	687	702	982	474	353	359	86	67	43	763	534	684	1036	86	418
mmu-miR-184-3p	20	31	28	27	37	57	48	62	131	26	43	20	32	25	9	65	26	86	42	10	23
mmu-miR-184-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1843a-3p	97	95	86	81	88	104	160	113	129	100	85	106	60	67	50	129	109	117	148	69	81
mmu-miR-1843a-5p	957	776	756	512	713	1013	1163	1100	1289	842	533	670	165	146	81	1001	867	1010	1175	235	582
mmu-miR-1843b-3p	0	0	0	0	138	0	293	248	0	190	171	0	0	134	0	211	191	194	257	0	0
mmu-miR-1843b-5p	380	335	297	219	312	531	574	527	632	403	231	294	73	68	33	503	365	518	630	101	275
mmu-miR-185-3p	80	62	62	63	59	77	88	69	66	58	44	81	21	23	27	65	70	63	66	38	78
mmu-miR-185-5p	512	408	312	214	342	195	440	320	370	321	171	267	47	39	30	353	318	352	469	64	266
mmu-miR-186-3p	20	0	15	17	13	11	16	10	22	9	11	14	0	0	0	17	15	14	11	0	16
mmu-miR-186-5p	13094	10290	9562	6792	9130	8948	13588	11280	16521	10115	6268	8343	1570	1070	497	11890	11644	11770	14371	1804	8572
mmu-miR-187-3p	127	104	128	75	120	41	132	127	127	74	72	106	33	34	27	142	94	97	124	32	96
mmu-miR-187-5p	32	16	26	0	27	0	34	32	23	0	21	0	0	0	0	34	0	0	22	0	28
mmu-miR-188-3p	9	0	0	8	6	0	0	11	8	10	0	0	0	0	0	23	11	9	16	0	0
mmu-miR-188-5p	26	30	21	17	30	20	41	37	26	26	24	31	0	15	0	34	33	36	45	3	28
mmu-miR-1892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0
mmu-miR-1894-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1894-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1895	0	0	0	47	121	0	0	0	45	0	0	0	0	0	0	0	0	0	49	0	0
mmu-miR-1896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1897-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1897-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-18a-3p	13	18	28	21	0	17	15	15	29	14	13	18	9	12	0	39	16	22	26	10	19
mmu-miR-18a-5p	56	37	33	33	37	29	47	41	71	40	6	28	0	0	0	37	50	43	56	0	28
mmu-miR-18b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-18b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
